City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,banting,2.8167,101.5,29.36,84,100,1.22,MY,1711414206
233,brookings,44.3114,-96.7984,-3.64,92,100,11.83,US,1711413974
234,quellon,-43.1167,-73.6167,14.48,99,100,2.23,CL,1711413983
235,wailua homesteads,22.0669,-159.378,23.75,75,40,5.14,US,1711414208
236,pierre,44.3683,-100.351,-2.49,65,100,10.8,US,1711414208
237,coronel suarez,-37.4547,-61.9334,15.42,75,59,3.25,AR,1711414209
238,cabo san lucas,22.8909,-109.9124,22.01,57,0,1.79,MX,1711414002
239,zabid,14.1951,43.3152,25.05,80,100,4.07,YE,1711414211
240,mount isa,-20.7333,139.5,27.87,69,40,2.57,AU,1711414212
241,tabou,4.423,-7.3528,26.2,91,20,1.67,CI,1711414213
242,caleta de carquin,-11.0925,-77.6267,22.84,86,54,3.82,PE,1711414214
243,waingapu,-9.6567,120.2641,28.44,73,36,0.97,ID,1711414215
244,labrador city,52.9463,-66.9114,-11.05,48,0,1.54,CA,1711414210
245,papao,-17.75,-149.55,31.82,78,60,6.02,PF,1711414217
246,jianguang,28.1938,115.7836,13.25,76,80,3.05,CN,1711414217
247,ad dabbah,18.05,30.95,18.79,23,0,4.72,SD,1711414218
248,new norfolk,-42.7826,147.0587,18.84,58,68,5.16,AU,1711414219
249,patterson,37.4716,-121.1297,17.86,60,100,3.09,US,1711413989
250,northam,51.0333,-4.2167,8.67,92,100,3.21,GB,1711414220
251,edmundston,47.3737,-68.3251,1.63,74,0,2.57,CA,1711414221
252,talcahuano,-36.7167,-73.1167,17.82,72,20,5.14,CL,1711414183
253,port saint john's,-31.6229,29.5448,22.79,84,100,5.25,ZA,1711414223
254,wynyard,-41.0,145.7167,18.04,53,37,6.28,AU,1711414224
255,hanceville,34.0607,-86.7675,18.95,72,100,8.44,US,1711414202
256,lebu,-37.6167,-73.65,14.82,82,100,4.96,CL,1711414225
257,hirara,24.8,125.2833,25.15,83,75,7.72,JP,1711414226
258,sorochinsk,52.4338,53.1583,1.2,99,100,4.16,RU,1711414227
259,thunder bay,48.4001,-89.3168,-2.01,93,100,9.26,CA,1711414228
260,scottburgh,-30.2867,30.7532,21.63,86,80,6.22,ZA,1711414228
261,meulaboh,4.1363,96.1285,26.1,87,100,0.32,ID,1711414229
262,kudat,6.8837,116.8477,27.96,83,20,3.09,MY,1711414230
263,kununurra,-15.7667,128.7333,29.99,74,75,1.54,AU,1711414230
264,bubaque,11.2833,-15.8333,26.2,68,65,6.51,GW,1711414231
265,merritt,50.1123,-120.7942,10.18,42,100,3.13,CA,1711414232
266,collie,-33.3667,116.15,22.21,30,42,0.85,AU,1711414232
267,urangan,-25.3,152.9,25.67,97,100,3.58,AU,1711414233
268,corner brook,48.9667,-57.9484,-3.91,83,100,0.19,CA,1711413962
269,lazaro cardenas,17.9583,-102.2,22.9,68,100,4.13,MX,1711414234
270,coruripe,-10.1256,-36.1756,27.65,77,100,4.93,BR,1711414235
271,san ignacio,17.1561,-89.0714,29.21,65,26,3.1,BZ,1711414236
272,harlan,41.653,-95.3255,9.03,92,100,7.13,US,1711414237
273,miami,25.7743,-80.1937,24.01,72,75,7.72,US,1711413628
274,pacific grove,36.6177,-121.9166,15.96,71,75,6.17,US,1711414140
275,amga,60.8953,131.9608,-7.54,89,100,1.63,RU,1711414239
276,greenville,35.6127,-77.3663,13.09,63,0,2.57,US,1711414189
277,bondo,3.8146,23.6866,21.65,96,93,0.59,CD,1711414240
278,terra roxa,-23.8557,-50.0314,21.64,73,81,1.8,BR,1711414241
279,tauranga,-37.6861,176.1667,23.3,70,77,2.24,NZ,1711414241
280,williams lake,52.1415,-122.1445,12.76,24,75,2.06,CA,1711414213
281,kocarli,37.7611,27.7058,9.99,87,75,0.51,TR,1711414243
282,punta arenas,-53.15,-70.9167,14.06,77,75,6.69,CL,1711414243
283,entebbe,0.0644,32.4469,22.18,88,20,2.06,UG,1711414244
284,goure,13.9835,10.2704,22.61,12,0,3.34,NE,1711414245
285,la'ie,21.6477,-157.9253,27.98,69,61,1.34,US,1711414245
286,choibalsan,48.0667,114.5,-3.72,82,100,1.89,MN,1711414246
